Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189386,26.4,-4.617209,7.7788338015476866,7.7788338015476866,1.0
2000,1.4189384,60.666666666666664,-4.185228,23.246232847550086,23.246232847550086,1.0
3000,1.4189384,49.9,-4.314803,16.968185739591718,16.968185739591718,1.0
4000,1.4189383,48.80952380952381,-4.6516643,14.040038585338904,14.040038585338904,1.0
5000,1.4189384,32.89655172413793,-4.5490804,10.662420085941752,10.662420085941752,1.0
6000,1.4189384,66.78571428571429,-4.6927705,17.535504977405072,17.535504977405072,1.0
7000,1.4189385,45.608695652173914,-4.326349,15.345188069157302,15.345188069157302,1.0
8000,1.4189384,38.869565217391305,-4.325473,14.78027518838644,14.78027518838644,1.0
9000,1.4189385,44.083333333333336,-4.5038843,13.58094694852256,13.58094694852256,1.0
10000,1.4189383,24.2972972972973,-4.6414104,7.9823692196325675,7.9823692196325675,1.0
11000,1.4172158,35.142857142857146,-0.07653514,13.587237737540688,13.587237737540688,1.0
12000,1.4166324,66.26666666666667,0.80781746,24.073480503757796,24.073480503757796,1.0
13000,1.4166325,34.833333333333336,0.58461416,12.56766551721,12.56766551721,1.0
14000,1.4166324,56.1875,0.6880294,21.18962730160531,21.18962730160531,1.0
15000,1.4166323,40.916666666666664,0.5396348,14.95213737571612,14.95213737571612,1.0
16000,1.4166324,43.833333333333336,0.7887952,18.012224939341348,18.012224939341348,1.0
17000,1.4166324,82.25,0.5683665,26.17729338524597,26.17729338524597,1.0
18000,1.4166323,68.61538461538461,0.93399745,30.156886619205277,30.156886619205277,1.0
19000,1.4166323,64.125,0.8252837,22.17475447555383,22.17475447555383,1.0
20000,1.4166323,61.6875,0.99934167,31.24289062299899,31.24289062299899,1.0
21000,1.4159855,71.21428571428571,0.792213,19.35411425548441,19.35411425548441,1.0
22000,1.4153497,133.42857142857142,2.3576055,70.29394000662225,70.29394000662225,1.0
23000,1.4153496,63.46666666666667,1.3434873,30.974075585138053,30.974075585138053,1.0
24000,1.4153495,96.81818181818181,1.4180055,36.634152234221496,36.634152234221496,1.0
25000,1.4153496,94.9090909090909,1.977725,41.35018374646703,41.35018374646703,1.0
26000,1.4153496,131.625,2.5027666,59.199206966906786,59.199206966906786,1.0
27000,1.4153497,113.375,2.3382618,62.868661290965974,62.868661290965974,1.0
